ID,Category,Subcategory,Value,Timestamp
1,Fruit,Apple,74.41,2024-01-23T06:58:00
2,Vegetable,Spinach,73.91,2024-03-02T14:16:00
3,Protein,Chicken,59.46,2024-01-03T21:25:00
4,Fruit,Apple,22.65,2024-02-15T23:57:00
5,Protein,Chicken,56.56,2024-03-06T04:10:00
6,Protein,Tofu,22.82,2024-02-23T15:16:00
7,Dairy,Milk,76.12,2024-01-15T12:46:00
8,Grain,Oats,28.51,2024-01-20T14:21:00
9,Dairy,Milk,10.18,2024-01-09T19:16:00
10,Dairy,Yogurt,60.77,2024-01-04T22:55:00
11,Grain,Barley,13.36,2024-02-04T10:55:00
12,Fruit,Berry,30.02,2024-02-27T05:17:00
13,Protein,Fish,58.16,2024-03-05T03:09:00
14,Fruit,Apple,66.47,2024-01-27T08:10:00
15,Fruit,Orange,86.78,2024-02-04T14:23:00
16,Dairy,Butter,63.93,2024-02-03T04:59:00
17,Vegetable,Broccoli,36.17,2024-03-02T00:01:00
18,Dairy,Milk,61.3,2024-01-16T13:51:00
19,Protein,Beef,17.18,2024-02-04T12:55:00
20,Dairy,Cream,22.74,2024-01-30T12:24:00
21,Fruit,Orange,82.36,2024-01-29T17:07:00
22,Grain,Oats,7.55,2024-02-21T15:01:00
23,Dairy,Cheese,65.89,2024-02-06T00:16:00
24,Grain,Wheat,27.22,2024-01-23T10:45:00
25,Protein,Egg,27.01,2024-02-23T05:02:00
26,Grain,Barley,40.54,2024-01-20T23:06:00
27,Vegetable,Tomato,49.86,2024-03-09T19:01:00
28,Fruit,Apple,16.13,2024-01-15T13:29:00
29,Grain,Barley,7.29,2024-02-04T17:39:00
30,Protein,Tofu,53.38,2024-02-20T08:32:00
31,Fruit,Apple,68.49,2024-02-18T21:01:00
32,Dairy,Yogurt,12.04,2024-02-09T13:45:00
33,Vegetable,Pepper,1.32,2024-03-06T17:26:00
34,Dairy,Cream,76.43,2024-02-16T05:02:00
35,Fruit,Banana,84.33,2024-02-16T05:00:00
36,Protein,Beef,16.13,2024-03-10T09:43:00
37,Vegetable,Tomato,95.4,2024-02-18T06:34:00
38,Fruit,Berry,33.09,2024-01-02T18:32:00
39,Fruit,Banana,87.99,2024-01-28T23:46:00
40,Vegetable,Carrot,24.85,2024-02-21T15:24:00
41,Fruit,Apple,73.46,2024-01-07T07:11:00
42,Protein,Beef,13.71,2024-02-13T06:16:00
43,Protein,Beef,27.24,2024-02-25T05:07:00
44,Grain,Wheat,92.96,2024-03-09T17:54:00
45,Vegetable,Broccoli,40.5,2024-03-02T03:19:00
46,Dairy,Butter,90.06,2024-02-11T02:17:00
47,Fruit,Orange,23.25,2024-01-31T18:33:00
48,Fruit,Berry,55.84,2024-02-23T13:28:00
49,Vegetable,Carrot,8.03,2024-02-27T10:39:00
50,Fruit,Orange,7.67,2024-01-03T20:37:00
51,Dairy,Milk,51.9,2024-01-26T08:20:00
52,Grain,Wheat,54.38,2024-03-06T20:11:00
53,Protein,Egg,47.79,2024-02-13T01:13:00
54,Grain,Wheat,10.34,2024-02-29T23:34:00
55,Grain,Oats,42.93,2024-02-12T12:13:00
56,Fruit,Apple,7.0,2024-03-07T06:48:00
57,Dairy,Milk,25.62,2024-01-18T07:31:00
58,Protein,Tofu,14.88,2024-01-17T16:50:00
59,Dairy,Butter,25.73,2024-01-07T20:40:00
60,Grain,Barley,10.69,2024-02-29T08:37:00
61,Protein,Chicken,96.93,2024-03-09T14:11:00
62,Vegetable,Spinach,41.23,2024-02-13T19:32:00
63,Vegetable,Pepper,90.34,2024-01-15T23:39:00
64,Grain,Rice,98.55,2024-01-25T03:20:00
65,Grain,Oats,42.88,2024-03-07T11:48:00
66,Protein,Tofu,16.32,2024-01-28T00:10:00
67,Vegetable,Carrot,58.34,2024-02-19T08:26:00
68,Fruit,Banana,6.66,2024-02-23T04:09:00
69,Grain,Barley,92.02,2024-02-18T08:15:00
70,Vegetable,Carrot,96.12,2024-01-08T07:00:00
71,Vegetable,Carrot,59.91,2024-03-02T11:01:00
72,Vegetable,Pepper,12.87,2024-02-21T20:28:00
73,Vegetable,Tomato,59.86,2024-02-26T09:03:00
74,Fruit,Grape,66.08,2024-02-21T10:45:00
75,Protein,Fish,93.54,2024-01-19T14:12:00
76,Dairy,Cheese,27.3,2024-01-12T21:54:00
77,Dairy,Butter,32.3,2024-03-09T10:28:00
78,Fruit,Apple,46.37,2024-02-21T05:52:00
79,Fruit,Apple,54.23,2024-02-16T01:07:00
80,Dairy,Cheese,93.39,2024-01-07T06:16:00
81,Vegetable,Broccoli,29.21,2024-02-09T21:13:00
82,Protein,Fish,61.56,2024-02-29T12:37:00
83,Protein,Chicken,67.12,2024-02-20T11:32:00
84,Dairy,Milk,93.95,2024-01-13T05:21:00
85,Dairy,Milk,89.08,2024-03-08T13:50:00
86,Protein,Beef,27.96,2024-02-25T01:16:00
87,Vegetable,Broccoli,21.16,2024-02-27T17:30:00
88,Dairy,Cream,49.36,2024-01-05T14:58:00
89,Fruit,Grape,83.11,2024-01-05T00:18:00
90,Fruit,Banana,77.34,2024-02-27T23:47:00
91,Dairy,Cheese,74.38,2024-02-20T05:09:00
92,Grain,Barley,1.96,2024-01-07T20:22:00
93,Vegetable,Tomato,4.57,2024-02-03T14:33:00
94,Protein,Egg,15.66,2024-01-12T14:24:00
95,Fruit,Banana,37.1,2024-01-04T15:09:00
96,Dairy,Cheese,68.52,2024-03-01T16:56:00
97,Fruit,Banana,78.23,2024-02-06T23:44:00
98,Protein,Beef,92.65,2024-01-22T13:09:00
99,Vegetable,Spinach,88.26,2024-01-03T06:08:00
100,Vegetable,Broccoli,78.46,2024-02-07T11:24:00
101,Vegetable,Broccoli,16.76,2024-03-04T19:57:00
102,Fruit,Grape,87.34,2024-02-12T20:14:00
103,Vegetable,Spinach,81.84,2024-02-11T21:32:00
104,Dairy,Yogurt,82.23,2024-01-21T17:11:00
105,Vegetable,Carrot,66.34,2024-02-06T06:27:00
106,Dairy,Yogurt,86.57,2024-01-26T09:45:00
107,Dairy,Cream,40.57,2024-02-18T19:22:00
108,Dairy,Milk,12.42,2024-01-24T18:37:00
109,Vegetable,Tomato,96.29,2024-01-25T03:55:00
110,Fruit,Apple,60.06,2024-02-01T11:09:00
111,Dairy,Butter,61.01,2024-02-16T13:13:00
112,Fruit,Grape,90.05,2024-01-18T07:14:00
113,Dairy,Milk,71.17,2024-01-01T03:41:00
114,Protein,Egg,69.0,2024-03-08T12:48:00
115,Vegetable,Broccoli,43.7,2024-03-01T11:02:00
116,Dairy,Cream,32.08,2024-01-12T08:14:00
117,Dairy,Cream,31.62,2024-02-07T04:08:00
118,Dairy,Butter,70.02,2024-02-20T11:07:00
119,Vegetable,Spinach,42.62,2024-02-04T12:15:00
120,Vegetable,Tomato,57.34,2024-02-06T23:05:00
121,Protein,Chicken,31.08,2024-01-20T03:09:00
122,Grain,Barley,61.06,2024-01-30T07:57:00
123,Grain,Corn,44.77,2024-01-20T10:50:00
124,Protein,Tofu,79.58,2024-03-07T23:43:00
125,Vegetable,Carrot,29.09,2024-03-01T10:12:00
126,Protein,Fish,10.25,2024-03-09T08:53:00
127,Vegetable,Broccoli,23.24,2024-01-19T03:00:00
128,Vegetable,Carrot,5.58,2024-02-13T05:57:00
129,Protein,Chicken,46.09,2024-02-27T07:44:00
130,Protein,Beef,72.12,2024-02-04T22:48:00
131,Grain,Corn,25.15,2024-02-29T17:10:00
132,Fruit,Apple,78.06,2024-01-20T22:03:00
133,Vegetable,Tomato,46.99,2024-02-20T17:40:00
134,Vegetable,Carrot,46.19,2024-02-12T07:01:00
135,Protein,Egg,59.95,2024-03-09T17:52:00
136,Grain,Barley,81.69,2024-02-15T22:42:00
137,Grain,Barley,45.15,2024-01-15T11:41:00
138,Grain,Corn,26.66,2024-01-23T12:06:00
139,Dairy,Cream,48.98,2024-01-22T18:38:00
140,Dairy,Butter,8.67,2024-01-27T00:10:00
141,Vegetable,Broccoli,34.25,2024-02-19T03:58:00
142,Fruit,Orange,15.93,2024-02-04T20:45:00
143,Vegetable,Spinach,7.36,2024-02-07T02:24:00
144,Dairy,Cream,47.13,2024-01-06T16:01:00
145,Vegetable,Pepper,39.56,2024-02-23T03:56:00
146,Fruit,Berry,38.66,2024-01-01T12:52:00
147,Dairy,Yogurt,75.59,2024-02-08T03:21:00
148,Protein,Egg,80.19,2024-01-21T01:46:00
149,Grain,Wheat,28.02,2024-02-14T04:54:00
150,Fruit,Grape,34.28,2024-03-02T19:36:00
151,Grain,Wheat,84.21,2024-01-12T14:48:00
